user_id,is_genuine,raw_trust_score,baseline_decision
vijay,1,43.5,allow
vijay,1,43.5,allow
vijay,1,63.4,allow
vijay,1,57.0,allow
vijay,0,30.9,deny
vijay,0,23.5,deny
vijay,0,29.5,deny
vijay,0,29.5,deny
vijay,0,25.2,deny
vijay,1,33.1,false_reject
vijay,1,59.6,allow
vijay,1,54.3,allow
vijay,1,69.8,allow
vijay,0,25.4,deny
vijay,0,25.4,deny
vijay,0,22.5,deny
vijay,0,22.5,deny
vijay,0,22.5,deny
vijay,0,22.5,deny
vijay,1,62.9,allow
vijay,0,34.2,deny
vijay,0,30.8,deny
vijay,1,63.9,allow
vijay,0,32.4,deny
vijay,1,65.0,allow
vijay,1,39.0,false_reject
vijay,0,53.7,false_accept
6a76a437f5922b18a8d0c3b0,0,47.4,false_accept
6a76a437f5922b18a8d0c3b0,1,31.3,false_reject
6a76a437f5922b18a8d0c3b0,1,68.6,allow
6a76a437f5922b18a8d0c3b0,1,59.6,allow
6a76a437f5922b18a8d0c3b0,1,34.3,false_reject
6a76a437f5922b18a8d0c3b0,1,50.9,allow
6a76a437f5922b18a8d0c3b0,1,53.6,allow
