user_id,is_genuine,trust_score
vijay,1,43.5
vijay,1,43.5
vijay,1,63.4
vijay,1,57.0
vijay,0,30.9
vijay,0,23.5
vijay,0,29.5
vijay,0,29.5
vijay,0,25.2
vijay,1,33.1
vijay,1,59.6
vijay,1,54.3
vijay,1,69.8
vijay,0,25.4
vijay,0,25.4
vijay,0,22.5
vijay,0,22.5
vijay,0,22.5
vijay,0,22.5
vijay,1,62.9
vijay,0,34.2
vijay,0,30.8
vijay,1,63.9
vijay,0,32.4
vijay,1,65.0
vijay,1,39.0
vijay,0,53.7
6a76a437f5922b18a8d0c3b0,0,47.4
6a76a437f5922b18a8d0c3b0,1,31.3
6a76a437f5922b18a8d0c3b0,1,68.6
6a76a437f5922b18a8d0c3b0,1,59.6
6a76a437f5922b18a8d0c3b0,1,34.3
6a76a437f5922b18a8d0c3b0,1,50.9
6a76a437f5922b18a8d0c3b0,1,53.6
6a76a437f5922b18a8d0c3b0,1,62.3
vijay,1,85.6
sarvanth,0,81.9
sarvanth,0,80.9
sarvanth,1,85.7
vijay,1,83.2
vijay,0,71.5
